v1	V(follower)
-1.000000000000000e+001	2.608740e+002
-9.797979797979798e+000	2.607874e+002
-9.595959595959595e+000	2.606957e+002
-9.393939393939393e+000	2.606018e+002
-9.191919191919190e+000	2.605046e+002
-8.989898989898988e+000	2.604037e+002
-8.787878787878785e+000	2.602990e+002
-8.585858585858583e+000	2.601902e+002
-8.383838383838381e+000	2.600770e+002
-8.181818181818178e+000	2.599591e+002
-7.979797979797976e+000	2.598360e+002
-7.777777777777773e+000	2.597075e+002
-7.575757575757571e+000	2.595730e+002
-7.373737373737368e+000	2.594320e+002
-7.171717171717166e+000	2.592841e+002
-6.969696969696964e+000	2.591285e+002
-6.767676767676761e+000	2.589645e+002
-6.565656565656559e+000	2.587914e+002
-6.363636363636356e+000	2.586082e+002
-6.161616161616154e+000	2.584137e+002
-5.959595959595951e+000	2.582067e+002
-5.757575757575749e+000	2.579857e+002
-5.555555555555547e+000	2.577491e+002
-5.353535353535344e+000	2.574948e+002
-5.151515151515142e+000	2.572203e+002
-4.949494949494939e+000	2.569227e+002
-4.747474747474737e+000	2.565983e+002
-4.545454545454534e+000	2.562427e+002
-4.343434343434332e+000	2.558505e+002
-4.141414141414129e+000	2.554145e+002
-3.939393939393928e+000	2.549258e+002
-3.737373737373726e+000	2.543727e+002
-3.535353535353524e+000	2.537396e+002
-3.333333333333322e+000	2.530053e+002
-3.131313131313120e+000	2.521408e+002
-2.929292929292918e+000	2.511054e+002
-2.727272727272716e+000	2.498192e+002
-2.525252525252514e+000	2.482382e+002
-2.323232323232312e+000	2.462390e+002
-2.121212121212110e+000	2.436996e+002
-1.919191919191908e+000	2.405233e+002
-1.717171717171706e+000	2.366973e+002
-1.515151515151504e+000	2.323052e+002
-1.313131313131302e+000	2.274654e+002
-1.111111111111100e+000	2.222534e+002
-9.090909090908976e-001	2.166172e+002
-7.070707070706956e-001	2.101611e+002
-5.050505050504937e-001	2.029404e+002
-3.030303030302917e-001	1.955890e+002
-1.010101010100897e-001	1.880678e+002
1.010101010101123e-001	1.804541e+002
3.030303030303143e-001	1.727579e+002
5.050505050505163e-001	1.649910e+002
7.070707070707183e-001	1.571672e+002
9.090909090909203e-001	1.493067e+002
1.111111111111122e+000	1.414431e+002
1.313131313131324e+000	1.336388e+002
1.515151515151526e+000	1.260095e+002
1.717171717171728e+000	1.187501e+002
1.919191919191930e+000	1.121218e+002
2.121212121212132e+000	1.063677e+002
2.323232323232334e+000	1.015698e+002
2.525252525252536e+000	9.770392e+001
2.727272727272738e+000	9.479800e+001
2.929292929292940e+000	9.284232e+001
3.131313131313142e+000	9.156661e+001
3.333333333333344e+000	9.065301e+001
3.535353535353546e+000	9.000365e+001
3.737373737373748e+000	8.949298e+001
3.939393939393950e+000	8.906787e+001
4.141414141414153e+000	8.870779e+001
4.343434343434355e+000	8.839709e+001
4.545454545454557e+000	8.812441e+001
4.747474747474760e+000	8.788187e+001
4.949494949494962e+000	8.766372e+001
5.151515151515165e+000	8.746570e+001
5.353535353535367e+000	8.728455e+001
5.555555555555570e+000	8.711770e+001
5.757575757575772e+000	8.696315e+001
5.959595959595974e+000	8.681925e+001
6.161616161616177e+000	8.668467e+001
6.363636363636379e+000	8.655831e+001
6.565656565656582e+000	8.643925e+001
6.767676767676784e+000	8.632670e+001
6.969696969696987e+000	8.622000e+001
7.171717171717189e+000	8.611859e+001
7.373737373737392e+000	8.602197e+001
7.575757575757594e+000	8.592970e+001
7.777777777777796e+000	8.584144e+001
7.979797979797999e+000	8.575683e+001
8.181818181818201e+000	8.567559e+001
8.383838383838404e+000	8.559747e+001
8.585858585858606e+000	8.552222e+001
8.787878787878809e+000	8.544965e+001
8.989898989899011e+000	8.537957e+001
9.191919191919213e+000	8.531182e+001
9.393939393939416e+000	8.524625e+001
9.595959595959618e+000	8.518270e+001
9.797979797979821e+000	8.512107e+001
1.000000000000000e+001	8.506123e+001
